,case,organ,dice,method
662,14,Bladder,0.8864250183105469,07
663,15,Bladder,0.729839026927948,07
664,16,Bladder,0.9090479612350464,07
665,17,Bladder,0.9496413469314575,07
666,18,Bladder,0.9214072227478027,07
667,19,Bladder,0.9438628554344177,07
668,20,Bladder,0.8289943337440491,07
669,21,Bladder,0.9315526485443115,07
670,22,Bladder,0.8979920148849487,07
671,23,Bladder,0.8683988451957703,07
672,24,Bladder,0.9367437958717346,07
673,25,Bladder,0.9233604073524475,07
674,26,Bladder,0.9361444115638733,07
675,27,Bladder,0.9011186361312866,07
676,28,Bladder,0.9498949646949768,07
677,29,Bladder,0.8582976460456848,07
678,30,Bladder,0.9401749968528748,07
679,31,Bladder,0.8836699724197388,07
680,32,Bladder,0.9466100931167603,07
681,33,Bladder,0.9536417722702026,07
682,34,Bladder,0.928243100643158,07
683,35,Bladder,0.8820083737373352,07
684,36,Bladder,0.8787574768066406,07
685,37,Bladder,0.9272175431251526,07
686,38,Bladder,0.9309542775154114,07
687,39,Bladder,0.9530527591705322,07
688,40,Bladder,0.8537134528160095,07
689,41,Bladder,0.8352252244949341,07
690,42,Bladder,0.9153223633766174,07
691,43,Bladder,0.9409660696983337,07
692,44,Bladder,0.9371261596679688,07
693,45,Bladder,0.8984887599945068,07
694,46,Bladder,0.905609667301178,07
695,47,Bladder,0.8971747159957886,07
696,0,Rectum,0.5722313523292542,07
697,1,Rectum,0.8504360318183899,07
698,2,Rectum,0.6332719922065735,07
699,3,Rectum,0.7751055359840393,07
